Entity,IncomeLevel,Code,Year,Prevalence - Neoplasms -Percent, GNI , Number of people with mental disorder prevalence ,working hours,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Pollution Index,Climate Index,CT_Scanners,old%,Current health expenditure per capita (current US$)
United States,High income,USA,2017,5.42440701,"59,250.00","50,740,395.00",,179.73,123.17,51.24,68.22,75.42,3.26,31.19,67.95,42.74,0.312195065,10103.0918
Canada,High income,CAN,2017,4.629727772,"42,900.00","4,977,891.00",1696.46,167.18,108.01,60.75,69.23,70.16,6.4,26.54,44.31,15.35,0.372208904,4865.070801
New Zealand,High income,NZL,2017,3.211580864,"38,870.00","760,608.00",,184.74,89.87,61.22,70.58,80.77,8.14,20.03,85.41,16.79,0.304946227,3940.390381
Norway,High income,NOR,2017,3.149720455,"75,650.00","812,386.00",1417.47,165.93,105.58,54.31,74.19,106.31,7.9,19.45,49.32,,0.33444516,7815.786621
Australia,High income,AUS,2017,3.042002085,"51,480.00","4,213,378.00",1613.05,176.54,101.94,57.58,74.25,80.66,9.24,24.58,72.79,64.34,0.322905173,5340.364746
Japan,High income,JPN,2017,2.985185404,"38,930.00","12,785,986.00",1738.36,147.49,102.52,79.11,78.63,85.28,12.68,41.01,31.91,111.49,0.555822334,4121.036621
Netherlands,High income,NLD,2017,2.818549509,"47,160.00","2,710,051.00",1430.02,175.23,86.52,70.11,82.5,72.47,8.52,27.62,61.87,13.48,0.374177073,4934.575195
United Kingdom,High income,GBR,2017,2.791155517,"41,880.00","9,626,858.00",,172.87,96.85,58.81,74.28,69.49,10,34.88,78.91,,0.360696621,3966.05835
Denmark,High income,DNK,2017,2.493679851,"56,690.00","778,076.00",1400.38,184.92,98.76,78.87,75.45,83.02,8.2,25.97,64.24,,0.384040377,5800.152832
Sweden,High income,SWE,2017,2.433869445,"53,030.00","1,479,004.00",1609.29,172.74,107.23,53.35,70.64,75.88,11.77,17.87,59.13,,0.405097058,5837.770508
Germany,High income,DEU,2017,2.398478606,"43,760.00","12,560,603.00",1353.89,189.74,124.88,67.97,76.74,65.5,7.46,27.05,57.97,35.13,0.440406942,5055.821289
Ireland,High income,IRL,2017,2.354530107,"53,350.00","808,330.00",1745.68,166.9,103.52,54.23,53.33,76.98,7.02,27.18,70.18,19.14,0.261443659,5010.256348
Finland,High income,FIN,2017,2.353037036,"44,840.00","770,503.00",1659.28,182.93,114.97,75.37,74.85,73.06,7.6,13.38,35.83,24.51,0.421175458,4233.468262
Italy,High income,ITA,2017,2.277105536,"31,380.00","9,056,491.00",1722.61,142.52,71.83,55.34,66.31,83.7,12.39,51.57,82.6,34.57,0.429002258,2809.721436
Austria,High income,AUT,2017,2.228314728,"45,040.00","1,327,473.00",1731.49,190.37,95.66,80.75,80.91,71.52,9.66,21.9,62.13,28.64,0.384291568,4938.919922
Estonia,High income,EST,2017,2.20173988,"18,760.00","165,276.00",1856.68,171.09,68.48,77,71.3,49.5,10.54,17.71,44.56,18.22,0.390350099,1350.380615
Lebanon,Lower middle income,LBN,2017,2.200755247,"7,460.00","820,530.00",,106.18,53.61,50.84,64.28,61.65,13.95,85.11,69.39,,0.135608201,606.8374023
Croatia,High income,HRV,2017,2.153365611,"12,980.00","521,479.00",1834.93,170.63,60.71,72.2,65.49,48,10.91,33.34,82.02,,0.383871258,902.6252441
Belgium,High income,BEL,2017,2.129967521,"42,520.00","1,613,522.00",1544.27,160.52,91.02,55.49,78.92,75.36,6.96,48.92,75.16,23.82,0.371014128,4775.8125
Spain,High income,ESP,2017,2.119853473,"27,100.00","8,177,851.00",1686.5,183.65,87.87,68.72,76.65,54.98,8.26,37.46,88.04,18.65,0.359089977,2526.720459
Slovakia,High income,SVK,2017,2.11595951,"16,620.00","623,404.00",1745.23,152.55,64.75,69.82,62.63,44.9,9.85,43.51,65.06,17.28,0.306821487,1189.072266
Switzerland,High income,CHE,2017,2.110949955,"81,880.00","1,408,994.00",,173.54,95.35,77.55,71.04,122.06,14.04,20.77,69.32,,0.362446631,9606.349609
