CodeYear,Year,Country,Code,Population,CostOfHealthLiving,GDPperCapita,GrossNetIncome,MentalDisorderPrevalancePerc,EatingDisordersPrevalancePerc,HealthExpenditurePerCapita
ETH-2019,2019,Ethiopia,ETH,114120592,3.29,2552.113646,850,12.48,0.09,75.11
FJI-2019,2019,Fiji,FJI,918472,3.858,13748.43825,5800,11.54,0.11,545.31
FIN-2019,2019,Finland,FIN,5521539,2.611,47181.84804,49940,14.96,0.53,4710.22
FRA-2019,2019,France,FRA,64399760,3.067,44822.99712,42550,16.63,0.52,5492.53
GAB-2019,2019,Gabon,GAB,2242788,3.485,15359.09339,7170,13.11,0.19,432.19
GMB-2019,2019,Gambia,GMB,2508882,3.054,2178.527253,750,13.05,0.1,88.71
GEO-2019,2019,Georgia,GEO,3770814,,14858.58035,4690,11.06,0.14,970.2
DEU-2019,2019,Germany,DEU,83148144,2.881,51592.60005,49190,15,0.47,6738.67
GHA-2019,2019,Ghana,GHA,31522294,3.941,5546.511377,2230,11.4,0.12,193.22
GRC-2019,2019,Greece,GRC,10574026,3.065,28856.02518,19670,17.05,0.47,2418.81
GRD-2019,2019,Grenada,GRD,122737,5.625,16101.23367,9750,14.37,0.23,879.51
GTM-2019,2019,Guatemala,GTM,17106338,,7919.762243,4610,13.23,0.2,529.12
GIN-2019,2019,Guinea,GIN,12877537,4.001,2300.715828,950,11.85,0.09,119.59
GNB-2019,2019,Guinea-Bissau,GNB,1970460,3.335,1698.613252,800,11.77,0.09,186.43
GUY-2019,2019,Guyana,GUY,798761,4.828,13335.39418,6630,15.81,0.19,673.57
HTI-2019,2019,Haiti,HTI,11160441,4.275,1530.86462,1390,15.13,0.12,143.45
HND-2019,2019,Honduras,HND,9958832,3.404,5296.050292,2390,12.71,0.17,435.68
HUN-2019,2019,Hungary,HUN,9771799,3.368,33265.39979,16520,11.31,0.2,2155.91
ISL-2019,2019,Iceland,ISL,360787,2.234,58658.00136,72900,14.6,0.5,5636.41
IND-2019,2019,India,IND,1383112064,2.877,6546.714556,2100,13.73,0.13,211
IDN-2019,2019,Indonesia,IDN,269582880,4.268,11471.34313,4050,10.68,0.12,358.29
IRN-2019,2019,Iran,IRN,86564208,3.642,13060.4268,4260,18.89,0.27,868.18
IRQ-2019,2019,Iraq,IRQ,41563524,3.534,11483.58222,5780,14.91,0.22,483.34
IRL-2019,2019,Ireland,IRL,4896021,2.269,102353.6314,63300,17.61,0.5,6010.07
ISR-2019,2019,Israel,ISR,8607922,2.454,42728.17939,43540,14.48,0.42,3326.25
ITA-2019,2019,Italy,ITA,59727936,3.012,41426.94291,34940,15.03,0.59,3998.01
JAM-2019,2019,Jamaica,JAM,2813776,6.398,8945.276846,5250,14.02,0.2,597.85
JPN-2019,2019,Japan,JPN,125791680,5.609,39636.89161,42010,10.58,0.42,4587.03
JOR-2019,2019,Jordan,JOR,10698682,3.5,10194.8147,4410,15.04,0.21,797.45
KAZ-2019,2019,Kazakhstan,KAZ,18754260,2.537,28757.45084,8820,10.61,0.17,765.49
KEN-2019,2019,Kenya,KEN,50951452,2.907,4137.587956,1830,12.34,0.11,207.62
KWT-2019,2019,Kuwait,KWT,4441105,3.468,55942.79561,36200,14.05,0.37,2861.19
KGZ-2019,2019,Kyrgyzstan,KGZ,6323643,2.991,5015.446061,1240,11.26,0.1,260.35
LAO-2019,2019,Laos,LAO,7212058,3.959,7359.113354,2540,12.04,0.1,212.37
LVA-2019,2019,Latvia,LVA,1916552,3.132,31423.21545,17810,12.62,0.18,2098.45
LBN-2019,2019,Lebanon,LBN,5781912,,14625.11198,7280,16.44,0.24,1288.81
LSO-2019,2019,Lesotho,LSO,2225710,4.01,2597.903057,1330,13.31,0.11,313.61
LBR-2019,2019,Liberia,LBR,4985290,3.847,1227.80388,610,12.49,0.08,126.02
LTU-2019,2019,Lithuania,LTU,2849083,3.039,37497.88921,19060,13.25,0.19,2796.82
LUX-2019,2019,Luxembourg,LUX,619981,2.6,112941.4533,77110,14.91,0.63,6756.88
MDG-2019,2019,Madagascar,MDG,27533134,3.154,1497.184315,520,13.04,0.09,65.23
MWI-2019,2019,Malawi,MWI,18867340,2.989,1093.062919,560,12.5,0.08,81.7
MYS-2019,2019,Malaysia,MYS,32804024,3.412,27941.69737,11260,12.23,0.16,1132.99
MDV-2019,2019,Maldives,MDV,504518,3.662,19138.38514,9640,11.07,0.13,1639.8
MLI-2019,2019,Mali,MLI,20567430,2.96,2411.158121,860,10.57,0.09,94.55
MLT-2019,2019,Malta,MLT,503646,3.698,50759.08302,29330,15.72,0.46,4039.61
MRT-2019,2019,Mauritania,MRT,4383853,3.6541,4283.262539,1720,10.58,0.12,187.05
MUS-2019,2019,Mauritius,MUS,1296284,3.439,23199.73023,12840,11.86,0.14,1475.96
MEX-2019,2019,Mexico,MEX,125085312,3.075,19308.07396,9470,12.26,0.26,1110.94
MDA-2019,2019,Moldova,MDA,3109496,2.687,8685.856726,4580,12.8,0.12,860.19
MNG-2019,2019,Mongolia,MNG,3232435,4.901,12832.9704,3850,11.27,0.14,484.39
MNE-2019,2019,Montenegro,MNE,630403,3.509,20554.23128,9140,11.63,0.17,1983.61
MAR-2019,2019,Morocco,MAR,36304408,2.759,7724.827523,3200,15.75,0.2,424.5
MOZ-2019,2019,Mozambique,MOZ,30285602,3.057,1169.86453,490,13.37,0.09,104.82
MMR-2019,2019,Myanmar,MMR,53040212,3.861,4819.9005,1270,10.89,0.1,226.83
NAM-2019,2019,Namibia,NAM,2446648,3.378,10100.48815,5170,11.09,0.17,867.35
NPL-2019,2019,Nepal,NPL,28832500,4.222,3103.988589,1230,13.83,0.11,176.96
NLD-2019,2019,Netherlands,NLD,17363260,2.844,56051.19836,53230,16.6,0.42,6248.15
NZL-2019,2019,New Zealand,NZL,4959033,2.692,41935.31099,43050,19.04,0.67,4439.35
NIC-2019,2019,Nicaragua,NIC,6663919,3.279,5100.650249,1890,13.27,0.18,474.52
NER-2019,2019,Niger,NER,23443400,2.792,1175.393952,590,11.63,0.08,72.48
NGA-2019,2019,Nigeria,NGA,203304496,3.87,4893.912405,2030,10.72,0.13,162.31
MKD-2019,2019,North Macedonia,MKD,2114175,3.336,16149.42274,5890,11.34,0.15,1313.56
NOR-2019,2019,Norway,NOR,5348285,3.356,62544.03236,81670,15.98,0.51,7217.39
OMN-2019,2019,Oman,OMN,4602769,2.921,29506.57487,16430,13.73,0.28,1160.78
PAK-2019,2019,Pakistan,PAK,223293280,3.46,4787.469594,1620,13.08,0.13,165.55
PSE-2019,2019,Palestine,PSE,4909775,3.493,6102.030222,,18.14,0.17,
PAN-2019,2019,Panama,PAN,4232538,4.382,29586.34318,14920,12.18,0.3,2490.95
PRY-2019,2019,Paraguay,PRY,6530029,3.519,12135.09958,5510,15.84,0.23,950.14
PER-2019,2019,Peru,PER,32824864,3.248,12412.81823,6840,13.82,0.31,711.63
PHL-2019,2019,Philippines,PHL,110380800,4.054,8204.645512,3850,11.94,0.11,379.24
POL-2019,2019,Poland,POL,38493600,3.038,33248.03272,15360,10.6,0.2,2206.54
PRT-2019,2019,Portugal,PRT,10289921,2.579,34264.51863,23200,18.45,0.46,3517.72
QAT-2019,2019,Qatar,QAT,2807242,2.484,103445.1273,61180,13.63,0.37,2736.82
ROU-2019,2019,Romania,ROU,19524212,3.01,28828.93538,12620,11.1,0.17,1906.59
RUS-2019,2019,Russia,RUS,145742288,3.264,28773.27475,11280,11.32,0.17,1704.04
RWA-2019,2019,Rwanda,RWA,12835029,2.537,2135.312516,830,13.08,0.1,145.74
KNA-2019,2019,Saint Kitts and Nevis,KNA,47739,3.31,27589.86416,,15.1,0.3,1506.51
LCA-2019,2019,Saint Lucia,LCA,178594,3.517,15134.05416,,14.47,0.23,697.71
VCT-2019,2019,Saint Vincent and the Grenadines,VCT,104940,4.293,11915.18354,,14.45,0.22,620.3
STP-2019,2019,Sao Tome and Principe,STP,214612,3.463,3648.030102,1950,11,0.11,226.81
SAU-2019,2019,Saudi Arabia,SAU,35827364,3.888,51199.35047,23220,13.7,0.29,2789.56
SEN-2019,2019,Senegal,SEN,16000783,2.278,3190.754171,1440,11,0.11,144.8
SRB-2019,2019,Serbia,SRB,7401056,4.174,17379.73,7040,11.38,0.15,1686.07
SYC-2019,2019,Seychelles,SYC,104386,3.923,31038.50172,16680,10.86,0.16,1468.72
SLE-2019,2019,Sierra Leone,SLE,8046830,2.847,1743.452689,530,12.33,0.09,157
SVK-2019,2019,Slovakia,SVK,5453932,3.105,32350.58206,19250,11.21,0.2,2267.09
SVN-2019,2019,Slovenia,SVN,2112905,2.916,39716.32605,25980,11.63,0.2,3629.01
ZAF-2019,2019,South Africa,ZAF,58087060,4.198,12789.65379,6670,12.01,0.17,1187.33
